disc_id,name,cd_pn,case_pn,date,name,note,contributor,date_added
167,"Compilers, C and C++",812-0001-003,,1991-11-01,"C++ Translator 2.1.1",,jrra,
2,"Compilers, C and C++",812-0001-005,812-0001-005,1993-05-01,"C++ Translator 3.0.1",,jrra,
166,"Compilers, C and C++",812-0130-001,,1993-03-01,"C++ Translator 3.1",,jrra,
169,"Compilers, C and C++",812-0130-003,,1993-08-01,"C++ Translator 3.2",,jrra,
3,"Compilers, C and C++",812-0130-005,,1994-11-01,"C++ Translator 4.0",,jrra,
254,"Compilers, C and C++",812-0135-004,812-0135-004,1994-03-01,"IRIS Power C 2.4.1",,jrra,2021-05-23
320,"Compilers, C and C++",812-0400-001,813-0400-001,1995-07-01,"MIPSPro C++ 6.1",,jrra,2021-05-23
60,"Compilers, C and C++",812-0707-001,814-0707-001,1997-09-01,"MIPSpro C Compiler 7.2","for IRIX 6.2, 6.3 and 6.4",jrra,
210,"Compilers, C and C++",812-0707-003,,1999-05-01,"MIPSpro C Compiler 7.3","for IRIX 6.2, 6.3, 6.4 and 6.5",jrra,2020-07-14
359,"Compilers, C and C++",812-0707-010,,2002-11-01,"MIPSpro C Compiler 7.4","requires IRIX 6.5 or later","chulofiasco, courtesy the library of Zerolapse",2021-08-26
61,"Compilers, C and C++",812-0400-002,814-0400-002,1996-03-01,"MIPSpro C++ 6.2",,jrra,
62,"Compilers, C and C++",812-0400-007,814-0400-007,1997-09-01,"MIPSpro C++ 7.2","for IRIX 6.2, 6.3 and 6.4",jrra,
357,"Compilers, C and C++",812-0400-010,,2002-11-01,"MIPSpro C++ Compiler 7.4","requires IRIX 6.5 or later","chulofiasco, courtesy the library of Zerolapse",2021-08-26
256,"Compilers, C and C++",812-0043-002,812-0043-002,1992-03-01,"Power C 2.0",,jrra,2021-05-23
253,"Compilers, C and C++",812-0043-004,812-0043-004,1993-05-01,"Power C 2.1.1",,jrra,2021-05-23
307,"Compilers, other",812-0373-002,813-0373-002,1995-08-01,"Ada95 Compiler 1.1",,jrra,2021-05-23
252,"Compilers, other",812-0014-001,812-0014-001,1991-09-01,"Fortran 77 Compiler 3.4",,jrra,2021-05-23
251,"Compilers, other",812-0014-005,812-0014-005,1993-05-01,"Fortran 77 Compiler 3.5.1",,jrra,2021-05-23
250,"Compilers, other",812-0132-002,812-0132-002,1993-06-01,"Fortran 77 Compiler 3.6.1",,jrra,2021-05-23
150,"Compilers, other",812-0132-004,,1993-09-01,"Fortran 77 Compiler 4.0+",,jrra,
316,"Compilers, other",812-0132-007,813-0132-007,1994-11-01,"Fortran 77 Compiler 4.0.2",,jrra,2021-05-23
321,"Compilers, other",812-0403-001,813-0403-001,1995-07-01,"Fortran 77 Compiler 6.1",,jrra,2021-05-23
308,"Compilers, other",812-0402-001,813-0402-001,1995-07-01,"Fortran90 Compiler 6.1",,jrra,2021-05-23
323,"Compilers, other",812-0402-002,813-0402-002,1995-08-01,"Fortran90 Compiler 6.1",,jrra,2021-05-23
358,"Compilers, other",812-0403-010,,2002-11-01,"MIPSpro Fortran 77 Compiler 7.4","requires IRIX 6.5 or later","chulofiasco, courtesy the library of Zerolapse",2021-08-26
